Anglais; Français
to take place; avoir lieu
in the foreground; au premier plan
to drown; se noyer
to be 1m wide; faire 1m de large
to be 1m deep; faire 1m de profondeur
to be 1m high; faire 1m de haut
to be 1m long; faire 1m de long
to convey a message; véhiculer un message
a shade; une nuance (couleur)
an oil-on-canvas; une huile sur toile
it looks as if; on dirait que
a storm; une tempête
bottom-left; en bas à gauche
top-right; en haut à droite
to make out stg; distinguer qqch
a sunset; un coucher de soleil


